	vol		
countrySHARE	0	1	Total
	mean	mean	mean
AT	40.7	42.3	41.1
BE	39.7	40.6	39.9
DK	42.0	42.6	42.2
FR	39.4	40.5	39.7
DE	40.0	41.0	40.3
GR	33.2	34.9	33.4
IS	35.8	37.9	36.2
IT	36.4	38.7	36.7
ES	37.9	39.7	38.0
S	40.2	40.8	40.3
CH	41.3	42.1	41.5
CZ	36.5	37.4	36.6
PL	38.2	40.9	38.3
LU	40.8	41.9	41.1
PT	35.4	36.8	35.5
SL	39.7	40.8	39.9
EE	37.1	39.7	37.3
Total	38.3	40.6	38.7

