	vol		
countrySHARE	0	1	Total
	mean	mean	mean
AT	0.344	0.486	0.375
BE	0.314	0.406	0.341
DK	0.593	0.678	0.621
FR	0.244	0.311	0.261
DE	0.204	0.281	0.224
GR	0.393	0.432	0.396
IS	0.466	0.479	0.468
IT	0.266	0.292	0.270
ES	0.269	0.305	0.271
S	0.442	0.457	0.445
CH	0.398	0.505	0.430
CZ	0.188	0.302	0.199
PL	0.116	0.152	0.118
LU	0.304	0.449	0.343
PT	0.107	0.158	0.112
SL	0.181	0.224	0.187
EE	0.066	0.170	0.076
Total	0.283	0.400	0.304

