	vol		
countrySHARE	0	1	Total
	mean	mean	mean
AT	0.021	0.011	0.018
BE	0.018	0.007	0.014
DK	0.028	0.018	0.025
FR	0.050	0.026	0.044
DE	0.044	0.020	0.038
GR	0.024	0.042	0.025
IS	0.034	0.010	0.030
IT	0.025	0.021	0.024
ES	0.037	0.023	0.036
S	0.022	0.023	0.022
CH	0.021	0.006	0.016
CZ	0.067	0.031	0.064
PL	0.094	0.022	0.091
LU	0.033	0.013	0.027
PT	0.074	0.069	0.073
SL	0.061	0.043	0.058
EE	0.090	0.040	0.085
Total	0.043	0.020	0.039

