	vol		
countrySHARE	0	1	Total
	p90	p90	p90
AT	46.0	47.0	47.0
BE	46.0	46.0	46.0
DK	47.0	47.0	47.0
FR	45.0	46.0	46.0
DE	46.0	46.0	46.0
GR	40.0	41.0	40.0
IS	44.0	44.0	44.0
IT	44.0	45.0	44.0
ES	45.0	45.0	45.0
S	46.0	46.0	46.0
CH	46.0	47.0	46.0
CZ	43.0	43.0	43.0
PL	45.0	46.0	45.0
LU	46.0	47.0	46.0
PT	41.0	43.0	42.0
SL	46.0	46.0	46.0
EE	44.0	45.0	44.0
Total	45.0	46.0	45.0

