	vol		
countrySHARE	0	1	Total
	p50	p50	p50
AT	41.0	43.0	42.0
BE	40.0	41.0	41.0
DK	43.0	43.0	43.0
FR	40.0	41.0	40.0
DE	40.0	41.0	41.0
GR	33.0	35.0	33.0
IS	35.0	39.0	36.0
IT	36.0	39.0	37.0
ES	38.0	40.0	38.0
S	41.0	41.0	41.0
CH	42.0	43.0	42.0
CZ	37.0	38.0	37.0
PL	39.0	42.0	39.0
LU	42.0	43.0	42.0
PT	35.0	37.0	35.0
SL	40.0	41.0	40.0
EE	37.0	40.0	37.0
Total	39.0	41.0	39.0

