	vol		
countrySHARE	0	1	Total
	p10	p10	p10
AT	34.0	37.0	35.0
BE	33.0	34.0	33.0
DK	37.0	38.0	37.0
FR	33.0	34.0	33.0
DE	34.0	35.0	34.0
GR	27.0	30.0	27.0
IS	29.0	31.0	30.0
IT	29.0	32.0	30.0
ES	31.0	33.0	31.0
S	34.0	35.0	34.0
CH	35.0	37.0	36.0
CZ	30.0	31.0	31.0
PL	30.0	34.0	31.0
LU	34.0	37.0	35.0
PT	29.0	31.0	29.0
SL	33.0	34.0	33.0
EE	30.0	33.0	30.0
Total	31.0	34.0	31.0

